MaleID,EPY,Exploration
8282,0,-0.001728938
3099,0,0.134980651
2950,0,0.545109418
6208,0,2.367903939
8364,0,-1.09540565
8440,1,-2.052372774
7924,0,-0.821986472
6074,0,-0.411857705
6334,0,-0.913126198
2210,0,0.226120377
2837,0,0.226120377
3617,0,-0.502997431
8292,0,0.909668323
7289,0,-2.508071404
1499,0,-2.553641267
2217,0,0.545109418
644,1,0.772958734
3258,0,0.909668323
8070,0,0.317260103
3611,0,-0.548567294
7888,0,0.089410788
8146,0,0.909668323
432,0,0.043840925
3360,1,-1.140975513
3306,0,-0.821986472
6728,1,-0.229578253
7281,1,-2.325791952
2381,0,1.228657364
1851,0,-0.502997431
8750,0,0.636249144
5618,1,0.590679281
7926,0,-1.642244007
1210,0,1.957775172
2264,1,0.499539555
422,1,0.408399829
6979,1,-1.140975513
691,0,-2.462501541
480,0,-1.733383733
8981,0,-0.18400839
398,0,-1.68781387
2220,0,0.772958734
8772,0,1.137517638
3610,0,-0.366287842
9144,0,-0.047298801
8764,0,-0.18400839
6507,0,-0.001728938
7290,0,-0.867556335
9113,0,0.043840925
713,0,-1.733383733
6052,0,0.27169024
6054,0,0.818528597
3138,1,0.453969692
8844,0,-0.776416609
6596,0,-0.548567294
5405,0,0.134980651
5115,0,2.003345035
8887,0,-0.092868664
6542,0,-0.913126198
9035,0,1.957775172
8886,0,-0.229578253
6053,0,-0.320717979
8891,1,-1.459964555
7220,0,0.362829966
8687,0,1.365366953
5935,0,0.453969692
2385,0,-0.138438527
1895,1,0.681819007
463,0,-0.730846746
8820,0,0.772958734
7012,1,-0.685276883
9226,0,-0.092868664
2594,1,-0.411857705
3612,0,-0.685276883
2501,1,0.27169024
8849,0,0.453969692
5922,0,0.681819007
6478,0,0.043840925
9075,0,0.134980651
472,0,-1.459964555
5997,0,0.317260103
3091,0,-1.004265924
1964,1,-2.189082363
8808,1,0.772958734
5940,0,1.137517638
2899,1,-2.462501541
8888,0,0.772958734
2869,1,1.593216268
3207,0,-0.18400839
3026,0,-0.594137157
486,1,-1.642244007
483,1,-1.368824829
2877,0,0.317260103
7190,0,-0.685276883
8833,1,-0.229578253
8995,1,-0.001728938
8845,0,-0.229578253
3077,0,0.818528597
373,1,-0.685276883
6356,0,-0.047298801
8846,0,0.86409846
8525,0,1.365366953
5428,0,1.866635446
952,1,-2.553641267
3325,1,-1.323254966
6715,1,-1.323254966
8482,0,-2.280222089
416,1,-1.368824829
6943,0,0.727388871
2338,0,0.727388871
579,0,-0.047298801
7278,0,0.727388871
2495,0,1.31979709
5570,0,-0.366287842
6163,0,0.226120377
8213,1,-0.092868664
3094,0,0.453969692
5323,0,-0.047298801
8398,0,1.410936816
1944,0,0.86409846
8970,0,1.31979709
5168,0,1.274227227
8984,0,0.909668323
2081,0,1.456506679
2178,0,0.590679281
2416,1,0.86409846
5021,0,-0.867556335
9071,1,0.727388871
4975,1,-0.411857705
1892,0,-0.730846746
4961,0,0.453969692
2635,0,0.362829966
8875,1,-0.047298801
5013,0,0.453969692
5650,0,-1.459964555
8214,0,0.681819007
8410,0,0.86409846
8688,0,-0.047298801
6630,1,0.681819007
8523,0,0.772958734
8280,0,0.681819007
3099,1,-2.371361815
10142,0,-0.821986472
2950,0,-0.913126198
8290,0,3.2793012
6208,0,0.636249144
10140,0,0.043840925
11652,0,1.091947775
2259,0,0.590679281
10104,0,0.317260103
11211,0,1.31979709
8387,0,2.869172433
10106,0,0.590679281
10109,0,-0.685276883
2834,0,-0.457427568
6204,0,-0.411857705
11267,0,-0.229578253
9061,0,2.914742296
10100,0,-1.368824829
9195,1,1.957775172
11432,0,1.821065583
10093,0,0.27169024
11759,0,-0.138438527
11623,0,1.593216268
9482,1,-0.18400839
9568,0,1.137517638
3611,0,-0.411857705
10380,0,1.046377912
9133,0,0.499539555
8069,0,0.772958734
6728,1,-0.366287842
12146,0,1.593216268
10132,0,-1.049835787
11442,1,1.31979709
10933,0,-0.18400839
2381,1,1.957775172
11266,1,0.043840925
1851,0,-2.052372774
11236,0,1.684355994
10771,0,0.909668323
11157,1,-1.140975513
6979,1,-0.18400839
9118,0,0.772958734
398,0,1.091947775
480,1,-1.778953596
9704,1,0.453969692
8772,1,2.094484761
12128,0,-1.140975513
3610,1,-0.63970702
8764,0,0.180550514
713,0,-0.548567294
11926,0,1.456506679
11889,0,0.499539555
6052,1,0.226120377
11920,0,0.681819007
11922,0,0.818528597
11994,0,0.453969692
11996,1,1.31979709
6725,0,-0.001728938
11725,0,0.955238186
12118,1,0.909668323
6542,0,-1.140975513
11832,0,-0.366287842
6053,1,0.727388871
5048,0,2.048914898
5223,1,-1.049835787
7220,1,-0.457427568
11624,0,-0.548567294
2385,0,-0.047298801
11330,1,-0.867556335
8478,1,1.183087501
10113,0,-0.411857705
11638,0,2.459043665
12035,0,-0.730846746
5922,0,1.274227227
10895,0,-1.140975513
10896,0,1.957775172
4871,0,0.909668323
11721,0,0.043840925
6754,0,1.593216268
9519,0,0.134980651
3026,0,-0.63970702
3207,0,-0.275148116
8888,0,1.228657364
6491,0,1.274227227
8833,0,-0.958696061
8995,1,0.499539555
3406,1,-0.320717979
9620,1,-0.502997431
11394,1,-0.502997431
11924,0,0.636249144
11992,0,-0.548567294
11727,0,-1.09540565
6356,1,-0.366287842
11640,0,-0.320717979
11576,0,0.86409846
11567,0,1.866635446
11081,0,0.226120377
10779,0,0.955238186
6715,0,-1.09540565
952,0,-1.004265924
10578,0,1.000808049
11565,0,1.137517638
8493,1,0.86409846
7278,1,-0.001728938
10748,0,0.590679281
2803,0,-0.502997431
2495,0,0.681819007
1902,0,-1.323254966
6693,0,1.091947775
3094,0,0.636249144
10761,0,0.590679281
8398,0,0.727388871
8984,0,-0.275148116
8584,0,0.362829966
5168,1,-0.275148116
1944,0,0.089410788
2178,1,0.86409846
7685,0,1.091947775
1892,0,-0.366287842
2416,1,-0.958696061
8167,0,-0.548567294
4975,0,-1.049835787
4961,1,1.228657364
4979,0,1.502076542
10486,1,1.091947775
2635,1,-0.594137157
10117,1,-0.320717979
10934,0,0.453969692
8408,0,-0.457427568
5650,0,-0.685276883
9857,0,0.043840925
9300,0,-1.140975513
10920,0,-0.229578253
8410,0,1.183087501
9276,0,0.681819007
8214,0,0.727388871
2162,0,0.317260103
8280,1,1.821065583
