Species,Pesticide,Population,Sex,Mass_start,Mass_end,Growth_rate,Mass_adult,F0_duration,Adult_lifespan,log_Adult_lifespan,Pre_NP_Projection,SQRT_Pre_NP_Projection,Pre_Latencytime,Post_NP_Projection,SQRT_Post_NP_Projection,Post_Latencytime,Avg_Projection,Avg_Latency
I. genei,absent,SA,Female,26.89,30.76,0.0149,19.71,19,5,0.698970004,53,7.28,7,27,5.2,4,40,5.5
I. genei,absent,SA,Male,20.73,23.43,0.0136,16.48,21,28,1.447158031,22,4.69,5,14,3.74,1,18,3
I. genei,absent,SA,Female,28.51,31.51,0.0111,21.43,23,24,1.380211242,58,7.62,151,4,2,36,31,93.5
I. genei,absent,SA,Male,22.38,25.98,0.0166,15.66,19,6,0.77815125,16,4,61,5,2.24,78,10.5,69.5
I. genei,absent,SA,Male,21.09,23.36,0.0114,12.24,38,1,0,25,5,30,9,3,3,17,16.5
I. genei,absent,SA,Male,23.88,28.33,0.019,18.9,20,5,0.698970004,46,6.78,21,0,0,3,23,12
I. genei,absent,SA,Male,20.75,24.82,0.0199,17.13,22,22,1.342422681,23,4.8,61,1,1,2,12,31.5
I. genei,absent,CO,Male,21.57,25.68,0.0194,16.72,19,3,0.477121255,40,6.32,135,26,5.1,2,33,68.5
I. genei,absent,SA,Female,24.29,34.56,0.0392,20.08,28,19,1.278753601,0,0,1,2,1.41,300,1,150.5
I. genei,absent,SA,Male,24.53,27.9,0.0143,16.02,24,6,0.77815125,7,2.65,1,28,5.29,7,17.5,4
I. genei,absent,SA,Female,22.39,24.89,0.0118,19.04,25,5,0.698970004,13,3.61,0,25,5,3,19,1.5
I. genei,absent,SA,Male,20.66,25.68,0.0242,17.34,21,12,1.079181246,13,3.61,6,45,6.71,2,29,4
I. genei,absent,SA,Male,21.84,24.43,0.0125,15.32,22,5,0.698970004,11,3.32,8,21,4.58,10,16,9
I. genei,absent,SA,Female,24.92,28.94,0.0166,20.77,27,14,1.146128036,7,2.65,7,51,7.14,4,29,5.5
I. genei,absent,SA,Male,19.37,24.06,0.0241,17.02,21,11,1.041392685,5,2.24,300,48,6.93,99,26.5,199.5
I. genei,absent,SA,Male,22.28,26.06,0.0174,16.45,22,4,0.602059991,22,4.69,2,16,4,1,19,1.5
I. genei,absent,CO,Male,21.77,24.82,0.0146,17.1,24,3,0.477121255,8,2.83,300,49,7,1,28.5,150.5
I. genei,absent,SA,Male,22.08,24.64,0.0122,16.86,22,23,1.361727836,25,5,11,34,5.83,10,29.5,10.5
I. genei,absent,CO,Female,27.6,31.46,0.0145,21.39,21,4,0.602059991,2,1.41,10,3,1.73,14,2.5,12
I. genei,absent,CO,Male,23.42,25.75,0.0105,18.63,27,22,1.342422681,9,3,300,0,0,300,4.5,300
I. genei,absent,CO,Male,24.83,27.52,0.0114,18.95,22,4,0.602059991,3,1.73,1,6,2.45,300,4.5,150.5
I. genei,absent,CO,Male,23.29,27.83,0.0198,19.03,19,19,1.278753601,6,2.45,162,2,1.41,7,4,84.5
I. genei,absent,CO,Male,27.59,30.83,0.0123,16.51,25,8,0.903089987,25,5,2,52,7.21,1,38.5,1.5
I. genei,absent,CO,Male,23.51,26.65,0.0139,19.65,28,17,1.230448921,49,7,128,80,8.94,6,64.5,67
I. genei,absent,SA,Female,28.4,30.37,0.0075,19.95,27,5,0.698970004,39,6.24,300,55,7.42,20,47,160
I. genei,absent,CO,Male,21.62,24.59,0.0143,17,22,20,1.301029996,36,6,7,52,7.21,7,44,7
I. genei,absent,CO,Male,27.44,29.05,0.0063,20.88,24,8,0.903089987,24,4.9,10,49,7,2,36.5,6
I. genei,absent,CO,Male,23.85,25.09,0.0056,17.96,25,4,0.602059991,35,5.92,7,53,7.28,5,44,6
I. genei,absent,CO,Female,28.52,29.14,0.0024,20.92,29,7,0.84509804,31,5.57,8,45,6.71,3,38,5.5
I. genei,absent,CO,Male,25.69,27.23,0.0065,20.03,26,13,1.113943352,44,6.63,157,54,7.35,3,49,80
I. genei,absent,CO,Male,24.31,27.11,0.0121,20.67,25,24,1.380211242,27,5.2,186,33,5.74,24,30,105
I. genei,absent,SA,Female,26.79,29.03,0.0089,21.71,26,4,0.602059991,44,6.63,2,36,6,2,40,2
I. genei,absent,SA,Male,21.94,23.48,0.0075,18.18,25,17,1.230448921,23,4.8,11,32,5.66,10,27.5,10.5
I. genei,absent,CO,Female,26.59,30.48,0.0152,21.01,25,10,1,5,2.24,4,45,6.71,1,25,2.5
I. genei,absent,SA,Female,25.26,28.72,0.0143,20.82,24,5,0.698970004,71,8.43,1,52,7.21,9,61.5,5
I. genei,absent,CO,Female,26.45,29.18,0.0109,20.83,22,4,0.602059991,76,8.72,16,38,6.16,1,57,8.5
I. genei,absent,CO,Female,25.19,26.41,0.0053,18.9,22,3,0.477121255,76,8.72,3,22,4.69,3,49,3
I. genei,absent,CO,Female,26.5,28.45,0.0079,19.79,21,6,0.77815125,57,7.55,1,31,5.57,13,44,7
I. genei,absent,CO,Male,26.17,28.9,0.011,19.14,18,5,0.698970004,20,4.47,44,40,6.32,300,30,172
I. genei,absent,CO,Female,24.06,25.7,0.0073,18.16,24,3,0.477121255,53,7.28,3,33,5.74,1,43,2
I. genei,absent,CO,Female,26.62,28.5,0.0076,20.66,28,5,0.698970004,49,7,147,30,5.48,24,39.5,85.5
I. genei,absent,CO,Male,25.71,22.56,-0.0145,18.55,23,9,0.954242509,38,6.16,172,51,7.14,16,44.5,94
