Bird,Year,Sex,Mass,Fate,Exploratory_behaviour
218,2,1,830,0,-0.34
219,2,1,890,0,1.2
221,2,1,980,0,-0.22
222,2,1,880,0,-0.54
228,2,1,830,0,-0.86
229,2,1,960,0,0.93
245,2,1,880,0,-0.55
247,2,1,860,0,0.31
248,2,2,750,0,1.61
252,2,1,910,0,-0.2
256,2,1,830,0,-1.34
262,2,2,720,0,-0.23
266,2,2,780,0,-1.3
269,2,2,630,0,-0.81
282,2,2,790,0,-0.55
283,2,2,730,0,1.16
286,2,1,890,0,-0.78
300,2,1,800,0,0.92
302,2,1,850,0,-1.62
311,2,1,890,0,0.59
316,2,2,720,0,-0.85
318,2,1,810,0,0.27
392,2,2,650,0,-0.23
421,2,2,630,0,-0.77
423,2,1,820,0,-0.3
426,2,2,680,0,-0.72
432,2,1,840,0,-0.19
433,2,2,700,0,-0.72
437,2,1,820,0,0.22
440,2,1,800,0,-0.4
446,2,1,730,0,1.61
455,2,1,890,0,-1.59
461,2,1,730,0,0.72
469,2,1,790,0,-0.85
470,2,2,770,0,0.09
159,2,2,750,1,-0.5
220,2,2,750,1,-0.72
246,2,2,650,1,-0.14
259,2,2,780,1,1.88
260,2,1,820,1,-0.36
270,2,1,870,1,1.15
273,2,2,760,1,-0.12
278,2,2,700,1,0.18
279,2,1,1010,1,-0.06
289,2,1,850,1,-0.8
290,2,2,690,1,-0.28
296,2,1,890,1,0.46
299,2,1,970,1,1.64
304,2,2,810,1,-0.77
305,2,2,730,1,-0.34
308,2,2,770,1,0.38
313,2,1,930,1,-0.03
323,2,2,760,1,-1.21
422,2,2,650,1,-1.38
430,2,2,720,1,-0.96
436,2,1,810,1,1.82
438,2,2,670,1,-0.3
441,2,2,790,1,0.01
450,2,1,880,1,0.93
456,2,1,810,1,-0.94
