DeadAlive,tactic,twins,year,mother
0,1,1,2006,2225
0,1,1,2006,2225
0,1,0,2007,2226
0,2,1,2006,2229
0,2,1,2006,2229
0,2,0,2006,2235
0,1,0,2006,2236
0,1,0,2006,2238
0,1,0,2006,2242
0,1,0,2007,2242
0,1,0,2006,2244
1,2,1,2006,2250
0,2,1,2006,2250
0,1,1,2007,2250
0,1,1,2007,2250
0,1,1,2006,2258
0,1,1,2006,2258
0,1,0,2006,2262
0,2,0,2006,2265
1,1,0,2006,2266
0,1,0,2006,2268
1,1,0,2006,2269
1,2,0,2006,2270
0,1,1,2006,2358
0,1,1,2006,2358
1,1,0,2007,2361
0,2,1,2007,2399
0,2,1,2007,2399
0,2,1,2008,2399
0,2,1,2008,2399
0,2,0,2008,2406
0,2,1,2007,2408
0,2,1,2007,2408
0,2,1,2008,2408
0,2,1,2008,2408
0,2,1,2007,2409
0,2,1,2007,2409
0,2,1,2008,2409
0,2,1,2008,2409
0,1,0,2008,2427
0,1,0,2007,2433
0,1,0,2007,2440
0,2,1,2007,2442
0,2,1,2007,2442
0,2,1,2008,2442
0,2,1,2008,2442
0,1,0,2007,2444
1,2,1,2008,2447
0,2,1,2008,2447
0,1,1,2007,2449
0,1,1,2007,2449
1,1,1,2008,2449
1,1,1,2008,2449
0,1,1,2008,2449
0,1,0,2007,2450
0,1,1,2007,2460
0,1,1,2007,2460
0,2,1,2007,2462
0,2,1,2007,2462
0,2,1,2008,2462
0,2,1,2008,2462
0,2,1,2007,2463
0,2,1,2007,2463
0,1,0,2007,2464
1,2,1,2007,2467
0,2,1,2007,2467
1,2,1,2007,2473
0,2,1,2007,2473
0,2,0,2007,2474
0,1,1,2007,2479
0,1,1,2007,2479
0,2,0,2007,2484
0,1,0,2007,2485
