id,Sex,captures year1,captures year2,traps year1,traps year2,area,ln captures 1,ln captures 2,Square root traps 1,square root traps2
159,male,5,8,2,4,CED,1.609,2.079,1.414,2.000
199,male,9,9,7,7,CED,2.197,2.197,2.646,2.646
726,male,3,2,3,2,CED,1.099,0.693,1.732,1.414
796,male,4,6,3,3,CED,1.386,1.792,1.732,1.732
865,male,9,16,7,9,CED,2.197,2.773,2.646,3.000
1208,male,7,6,6,3,CED,1.946,1.792,2.449,1.732
1213,male,9,12,6,7,CED,2.197,2.485,2.449,2.646
1218,male,4,4,4,4,CED,1.386,1.386,2.000,2.000
1236,male,2,9,2,3,CED,0.693,2.197,1.414,1.732
1272,male,7,8,5,4,CED,1.946,2.079,2.236,2.000
2117,male,2,3,2,2,CED,0.693,1.099,1.414,1.414
2175,male,10,10,7,8,CED,2.303,2.303,2.646,2.828
2458,male,8,14,6,8,CED,2.079,2.639,2.449,2.828
198,female,5,2,4,2,CED,1.609,0.693,2.000,1.414
1203,female,2,1,2,1,CED,0.693,0.000,1.414,1.000
1279,female,4,3,4,2,CED,1.386,1.099,2.000,1.414
1592,female,3,3,3,2,CED,1.099,1.099,1.732,1.414
1778,female,1,1,1,1,CED,0.000,0.000,1.000,1.000
1849,female,5,6,5,4,CED,1.609,1.792,2.236,2.000
1895,female,3,4,2,3,CED,1.099,1.386,1.414,1.732
2163,female,3,5,3,4,CED,1.099,1.609,1.732,2.000
2426,female,2,2,2,2,CED,0.693,0.693,1.414,1.414
725,male,10,11,6,8,OGA,2.303,2.398,2.449,2.828
751,male,4,3,4,3,OGA,1.386,1.099,2.000,1.732
791,male,11,13,6,8,OGA,2.398,2.565,2.449,2.828
863,male,13,12,10,7,OGA,2.565,2.485,3.162,2.646
896,male,4,4,4,2,OGA,1.386,1.386,2.000,1.414
1201,male,16,14,11,9,OGA,2.773,2.639,3.317,3.000
1227,male,3,6,3,4,OGA,1.099,1.792,1.732,2.000
1271,male,6,8,2,4,OGA,1.792,2.079,1.414,2.000
1555,male,5,3,4,3,OGA,1.609,1.099,2.000,1.732
1569,male,6,10,5,6,OGA,1.792,2.303,2.236,2.449
1590,male,3,5,3,4,OGA,1.099,1.609,1.732,2.000
1705,male,3,2,3,2,OGA,1.099,0.693,1.732,1.414
1555,male,5,5,4,3,OGA,1.609,1.609,2.000,1.732
1721,male,3,2,2,2,OGA,1.099,0.693,1.414,1.414
1749,male,1,4,1,3,OGA,0.000,1.386,1.000,1.732
1752,male,4,4,3,2,OGA,1.386,1.386,1.732,1.414
1819,male,4,8,3,4,OGA,1.386,2.079,1.732,2.000
705,female,8,5,2,2,OGA,2.079,1.609,1.414,1.414
783,female,2,3,1,3,OGA,0.693,1.099,1.000,1.732
1219,female,4,1,4,1,OGA,1.386,0.000,2.000,1.000
1570,female,4,5,3,3,OGA,1.386,1.609,1.732,1.732
1587,female,7,8,4,5,OGA,1.946,2.079,2.000,2.236
1588,female,4,2,3,2,OGA,1.386,0.693,1.732,1.414
1703,female,8,5,7,4,OGA,2.079,1.609,2.646,2.000
1751,female,3,6,3,6,OGA,1.099,1.792,1.732,2.449
1858,female,6,7,4,3,OGA,1.792,1.946,2.000,1.732
1859,female,3,4,1,1,OGA,1.099,1.386,1.000,1.000
