 rnr,sex,box,lay_date,hatched,fledged,mass_avg,agg,act,fr,frp
B2X3215,1,5,13,9,9,11.51,NA,100,12.8,18
B2X3716,2,5,13,9,9,11.51,NA,108,18,12.8
B2X3193,1,6,12,11,10,10.59,-11.85,32,27.2,8.8
B2V8707,2,6,12,11,10,10.59,NA,25,8.8,27.2
B2X4890,1,7,18,7,7,12.46,NA,105,NA,NA
B2X3037,2,7,18,7,7,12.46,NA,64,NA,NA
B2X4825,1,11,13,11,11,11.9,-13.51,126,17,21.67
B2X4930,2,11,13,11,11,11.9,NA,82,21.67,17
B2X4896,1,14,13,10,10,11.01,-7.41,222,11.33,10.67
B2V8804,2,14,13,10,10,11.01,NA,119,10.67,11.33
B2V8993,1,28,8,12,11,10.05,-10.57,103,32,19.6
B2X3930,2,28,8,12,11,10.05,NA,127,19.6,32
B2X4133,1,30,10,11,11,10.21,-12.09,88,NA,NA
B2X4845,2,30,10,11,11,10.21,NA,138,NA,NA
B1V5474,1,35,11,10,10,11.62,-6.79,156,23.67,15.67
B2X4307,2,35,11,10,10,11.62,NA,71,15.67,23.67
B2X3040,1,36,13,13,12,9.93,NA,148,26.33,12.67
B2V8712,2,36,13,13,12,9.93,NA,78,12.67,26.33
B2X3443,1,38,11,12,10,9.72,NA,140,1,34
B2X3703,2,38,11,12,10,9.72,NA,NA,34,1
B2V8952,1,41,13,2,2,11.65,-13.19,165,11,5.33
B2X4855,2,41,13,2,2,11.65,NA,81,5.33,11
B2X4924,1,43,10,9,9,11.51,-12.61,29,24.33,15.67
B2X4024,2,43,10,9,9,11.51,NA,94,15.67,24.33
B2X4839,1,48,15,11,11,11.45,-9,158,32,22.33
B2X4849,2,48,15,11,11,11.45,NA,NA,22.33,32
B2X4843,1,58,NA,11,10,10.03,-9.73,135,23.67,15.33
B2X4931,2,58,NA,11,10,10.03,NA,113,15.33,23.67
B2X3409,2,64,26,3,2,10.7,NA,183,NA,NA
B2X4037,1,70,13,3,3,12.43,-5.55,161,12.67,7.33
B2V8802,2,70,13,3,3,12.43,NA,92,7.33,12.67
B2X3498,1,71,9,10,10,10.61,NA,160,24,16
B2X3614,2,71,9,10,10,10.61,NA,146,16,24
B2X4218,1,80,11,11,10,10.74,NA,85,13.33,13.33
B1V5542,2,80,11,11,10,10.74,NA,115,13.33,13.33
B2X3803,2,87,9,10,8,9.03,NA,163,NA,NA
B2V8004,1,88,11,7,7,11.86,-6.79,155,17.33,16.67
B2F5444,2,88,11,7,7,11.86,NA,122,16.67,17.33
B2X4901,1,101,13,10,10,9.83,-8.44,145,25.33,22
B2X3927,2,101,13,10,10,9.83,NA,70,22,25.33
B2V8796,1,102,12,10,10,9.69,-4.58,NA,21.33,19.67
B2X4920,2,102,12,10,10,9.69,NA,146,19.67,21.33
B2X3933,1,103,14,10,10,11.37,NA,136,19.33,18
B2V8805,2,103,14,10,10,11.37,NA,105,18,19.33
B2X4023,1,108,7,8,6,11.87,-9.86,72,9,10.33
B2F5325,2,108,7,8,6,11.87,NA,150,10.33,9
B1V5533,1,111,11,10,10,10.03,-8.61,124,12,23.33
B2X3623,2,111,11,10,10,10.03,NA,137,23.33,12
B2X4382,1,114,7,9,9,11.5,NA,NA,NA,NA
B2X4305,2,114,7,9,9,11.5,NA,133,NA,NA
B2V8788,1,120,16,10,9,9.71,-12.12,124,27,23.33
B2V8789,2,120,16,10,9,9.71,NA,83,23.33,27
B2X3943,1,125,12,10,10,11.82,NA,103,NA,NA
B2A7698,2,125,12,10,10,11.82,NA,99,NA,NA
B2X4455,1,142,26,4,4,10.85,NA,72,9.33,4
B2X4551,2,142,26,4,4,10.85,NA,30,4,9.33
B2X4898,1,143,8,12,11,9,-3.28,212,13.2,30.4
B2X4923,2,143,8,12,11,9,NA,134,30.4,13.2
B2X4627,1,145,10,13,12,9.88,-10.06,100,NA,NA
B2X4928,2,145,10,13,12,9.88,NA,101,NA,NA
B2X4853,1,146,12,11,8,10.05,-11.27,135,12,22.67
B2X7001,2,146,12,11,8,10.05,NA,117,22.67,12
B2X3686,1,149,14,11,10,9.65,-7.22,187,NA,NA
B2X3641,2,149,14,11,10,9.65,NA,NA,NA,NA
B2X4599,1,151,9,12,11,8.73,-9.08,94,29.67,26.67
B2X4346,2,151,9,12,11,8.73,NA,142,26.67,29.67
B2X4331,1,152,12,9,9,11.79,-12.51,53,NA,NA
B2X4925,2,152,12,9,9,11.79,NA,128,NA,NA
B2V8807,1,153,12,13,11,10.54,-11.38,118,NA,NA
B2X3469,2,153,12,13,11,10.54,NA,77,NA,NA
B2X4926,1,166,11,11,9,10.17,NA,95,11.67,22.33
B2X3025,2,166,11,11,9,10.17,NA,176,22.33,11.67
B2X4900,1,168,12,12,0,NA,-9.2,104,NA,NA
B2V8711,2,168,12,12,0,NA,NA,90,NA,NA
B2X4466,1,173,11,13,13,10.02,-13.65,113,33,31.33
B2X3935,2,173,11,13,13,10.02,NA,56,31.33,33
B2V8028,1,174,13,11,8,8.94,-6.7,NA,43.67,0
B1V5386,2,174,13,11,8,8.94,NA,NA,0,43.67
B2X3924,1,175,12,11,11,10.29,NA,107,22.33,29.67
B2X3928,2,175,12,11,11,10.29,NA,NA,29.67,22.33
B2V8706,1,177,12,11,11,11.18,-8.57,155,33.33,15.67
B2V8713,2,177,12,11,11,11.18,NA,126,15.67,33.33
B2V8791,2,179,14,10,7,7.69,NA,51,NA,NA
B2V8803,1,186,14,8,6,11.03,-10.97,76,21,11.5
B2X3624,2,186,14,8,6,11.03,NA,170,11.5,21
B2V8806,1,189,16,11,11,10.35,-5.48,150,0,50
B2V8493,2,189,16,11,11,10.35,NA,NA,50,0
B1V5582,1,200,8,11,11,11.05,-7.55,174,42,22
B2X4927,2,200,8,11,11,11.05,NA,102,22,42
B2X4897,1,205,43,5,5,11.44,-6.5,NA,NA,NA
B2X4949,2,205,43,5,5,11.44,NA,NA,NA,NA
B2V8479,1,208,8,10,10,11.63,-5.03,NA,NA,NA
B2V8026,2,208,8,10,10,11.63,NA,89,NA,NA
B1V5078,1,211,17,9,8,11.06,NA,79,20,21.67
B2V8994,2,211,17,9,8,11.06,NA,131,21.67,20
B2X3857,1,217,11,12,12,10.58,-11.63,162,41.2,20.4
B2X4932,2,217,11,12,12,10.58,NA,176,20.4,41.2
B2V8790,1,219,16,11,8,10.69,NA,107,20.4,12.4
B2X4675,2,219,16,11,8,10.69,NA,117,12.4,20.4
B2V8792,1,221,30,5,5,11.14,NA,122,1,7
B2X4036,2,221,30,5,5,11.14,NA,NA,7,1
B2X4454,1,224,12,11,11,10.85,NA,NA,26.67,21
B2X3246,2,224,12,11,11,10.85,NA,NA,21,26.67
B2X3265,1,226,12,10,10,10.71,NA,149,24,19.33
B2X4598,2,226,12,10,10,10.71,NA,118,19.33,24
B2X4362,1,234,11,12,7,8.18,NA,117,52,0
B2X4933,2,234,11,12,7,8.18,NA,69,0,52
B2X4617,1,236,13,8,8,11.7,NA,122,NA,NA
B2X4934,2,236,13,8,8,11.7,NA,102,NA,NA
B2X3691,1,240,11,12,12,10.16,-9.01,141,19,17
B2V8901,2,240,11,12,12,10.16,NA,133,17,19
B2X3854,1,244,12,12,12,9.53,-11.77,189,27.2,26.4
B2X3651,2,244,12,12,12,9.53,NA,NA,26.4,27.2
B2X4426,1,246,11,11,11,11.26,-4.58,141,NA,NA
B2X4938,2,246,11,11,11,11.26,NA,184,NA,NA
B2X4935,1,247,16,9,9,10.37,NA,67,NA,NA
B2X4937,2,247,16,9,9,10.37,NA,114,NA,NA
B2V8436,1,254,10,11,11,10.21,-8.36,78,NA,NA
B2X4250,2,254,10,11,11,10.21,NA,100,NA,NA
B2X4895,1,257,12,11,11,9.92,-7.89,74,17.67,30.67
B2X4936,2,257,12,11,11,9.92,NA,NA,30.67,17.67
B2X3899,1,259,7,6,6,11.25,NA,154,19,15.67
B2X3622,2,259,7,6,6,11.25,NA,163,15.67,19
B2X3951,1,261,11,9,9,10.6,-11.09,215,NA,NA
B1V5080,2,261,11,9,9,10.6,NA,104,NA,NA
B2X3049,1,262,9,11,9,7.75,-5.69,124,NA,NA
B1V5560,2,262,9,11,9,7.75,NA,NA,NA,NA
B1V5072,1,266,14,8,8,11.45,-12.87,95,NA,NA
B2X4929,2,266,14,8,8,11.45,NA,146,NA,NA
B2X3938,1,267,11,11,10,10.03,-3.92,NA,0,48.67
B2X3936,2,267,11,11,10,10.03,NA,NA,48.67,0
B2X3026,1,273,10,12,10,10.47,-7.63,167,23.33,18
B2X3939,2,273,10,12,10,10.47,NA,NA,18,23.33
B2X4802,1,277,12,9,9,11.16,NA,71,23.33,13.67
B2X4893,2,277,12,9,9,11.16,NA,126,13.67,23.33
B2A7682,1,NA,NA,NA,NA,NA,-10.19,NA,NA,NA
B2X4891,1,NA,NA,NA,NA,NA,-10.55,NA,NA,NA
B2X4894,1,NA,NA,NA,NA,NA,-12.7,NA,NA,NA
B2X4880,1,NA,NA,NA,NA,NA,-7.01,88,NA,NA
B2X4899,1,NA,NA,NA,NA,NA,-2.92,107,NA,NA
B2V8793,2,NA,NA,NA,NA,NA,NA,83,NA,NA
